term,count
biden,391
county,269
school,263
bill,234
watch,223
covid,215
police,187
student,185
city,181
trump,164
video,161
house,160
report,150
basketball,146
american,145
time,139
photo,138
march,137
ukraine,133
arrested,132
desanti,129
down,129
back,123
high,119
girl,111
china,109
black,104
death,104
plan,104
found,102
florida,99
week,99
fire,97
kansa,97
white,97
shooting,95
crash,94
life,93
woman,90
tournament,87
nebraska,84
former,82
leak,82
court,79
month,75
abortion,74
republican,74
right,74
democrat,73
people,73
east,70
murder,69
face,67
history,67
south,65
health,64
million,64
media,60
spring,60
claim,59
lincoln,59
open,59
west,59
family,57
game,57
child,56
cpac,54
help,52
killed,51
change,50
military,49
attack,48
america,47
college,47
mayor,46
player,44
company,43
official,43
senate,43
team,43
dead,42
train,41
live,38
russia,38
women,38
left,37
national,37
season,37
issue,36
president,36
visit,35
world,35
election,34
