term,count
thanksgiving,574
shooting,313
biden,305
holiday,258
trump,235
county,234
twitter,228
world,197
colorado,190
police,188
club,186
covid,183
musk,181
house,168
elon,161
photo,145
city,138
watch,138
back,137
election,137
fire,137
time,131
student,130
american,129
school,128
killed,125
report,125
crash,121
season,121
family,120
week,120
people,118
video,116
down,113
suspect,111
woman,111
game,109
court,108
christma,100
west,93
open,90
china,83
black,82
virginia,82
dead,81
return,80
arrested,76
death,75
white,75
friday,73
million,73
right,71
walmart,71
republican,68
turkey,66
official,56
football,54
claim,53
shot,53
high,52
florida,49
arizona,48
help,48
record,48
store,48
media,47
ukraine,47
former,44
found,44
host,44
democrat,43
abortion,41
murder,41
nebraska,41
need,41
business,39
fall,39
lead,39
victim,39
fauci,36
live,36
kansa,35
president,35
travel,34
free,33
officer,33
