term,count
trump,345
school,189
march,177
bill,161
time,146
people,141
city,136
black,131
house,131
video,125
right,116
student,100
back,97
world,91
court,86
week,86
share,81
report,80
climate,78
health,78
star,77
police,70
down,67
plan,67
public,67
need,66
season,64
high,63
album,62
life,61
help,60
death,59
women,57
bank,55
review,55
donald,54
history,54
change,52
tiktok,51
work,50
watch,49
photo,48
york,48
american,47
face,46
florida,45
million,45
park,45
biden,43
lawmaker,42
open,42
anti,41
love,41
return,40
care,39
live,39
book,38
manhattan,38
music,38
protest,38
republican,37
housing,36
game,34
spring,33
tour,33
water,31
community,30
street,30
county,29
desanti,29
former,29
future,29
group,29
texa,29
president,28
national,27
song,27
media,25
money,25
college,24
