term,count
debate,424
trump,399
biden,378
court,277
supreme,259
black,170
june,167
summer,155
time,150
right,144
election,135
people,133
presidential,121
back,118
week,110
health,102
video,102
share,99
watch,97
school,96
house,95
music,90
abortion,85
plan,83
city,80
american,77
star,76
july,74
down,69
president,67
album,63
police,63
pride,61
need,60
gaza,59
tour,59
face,58
game,55
open,55
lgbtq,54
season,54
olympic,50
report,50
deal,49
life,48
help,47
public,45
song,45
care,43
fire,42
free,42
review,39
woman,39
work,39
community,38
world,38
photo,36
team,36
donald,35
trial,34
elden,33
history,33
shadow,33
award,32
attack,31
bill,31
official,31
ring,30
israel,29
inside,28
million,28
street,28
texa,28
claim,27
death,26
drop,26
federal,26
housing,26
