term,count
trump,252
israel,190
time,183
holiday,172
city,148
black,145
gaza,137
school,130
game,129
house,126
biden,122
december,116
christma,108
climate,106
season,101
republican,98
court,92
right,91
world,91
back,84
life,83
open,81
people,81
president,81
award,77
share,77
week,71
health,70
student,70
plan,69
family,67
video,66
watch,66
star,64
photo,63
american,57
hama,54
woman,54
down,53
police,52
election,51
book,50
change,49
music,49
release,49
song,49
live,46
center,43
former,43
need,43
review,41
talk,40
debate,39
help,39
report,39
album,38
face,38
george,37
taylor,37
cop28,36
texa,35
power,34
attack,33
killed,33
fuel,30
anti,29
celebrate,29
high,28
johnson,28
county,27
israeli,27
return,27
gift,26
record,26
