term,count
biden,419
trump,367
bridge,312
easter,238
county,229
police,222
baltimore,217
school,212
collapse,188
house,172
watch,166
court,163
million,149
city,147
naturalnews.com,141
israel,136
time,135
bill,131
fire,130
march,128
high,126
arrested,125
york,123
democrat,111
former,107
report,98
election,96
abortion,95
shooting,95
ship,94
spring,91
video,90
brief,87
crash,87
plan,87
florida,86
attack,84
back,83
week,83
photo,74
basketball,73
down,73
dead,72
people,72
woman,71
student,69
family,67
west,63
official,61
game,60
media,59
american,58
illegal,58
mcdaniel,57
republican,57
open,56
hama,54
officer,53
price,53
women,53
host,52
death,50
right,50
south,50
eclipse,49
good,49
president,49
face,48
health,47
need,46
north,46
social,46
billion,45
colorado,43
local,43
white,43
help,42
ronna,42
found,41
charge,40
baseball,39
event,39
jersey,39
claim,38
college,38
fall,37
sunday,37
suspect,35
gaza,34
update,34
kansa,33
accused,32
supreme,32
football,31
