term,count
thanksgiving,543
shooting,353
biden,307
trump,283
twitter,261
county,246
holiday,241
police,211
club,209
colorado,195
musk,178
covid,171
photo,167
house,155
elon,154
american,152
watch,150
world,148
city,147
fire,147
back,141
election,135
time,132
dead,127
killed,126
crash,120
report,120
school,120
season,119
student,119
week,117
video,114
down,112
family,110
people,110
west,106
woman,104
return,98
open,95
black,91
virginia,91
christma,90
suspect,88
arrested,87
court,85
friday,78
right,73
china,72
walmart,72
high,71
death,70
turkey,67
game,66
shot,65
claim,64
republican,63
official,62
ukraine,62
white,59
football,57
former,57
nebraska,57
help,55
need,55
million,53
media,45
free,44
victim,44
fall,42
kansa,40
store,40
anti,38
arizona,38
change,38
live,38
president,38
attack,37
business,36
support,36
november,35
abortion,34
breaking,34
health,34
record,34
team,34
florida,33
life,33
