term,count
olympic,657
harri,441
walz,389
trump,382
kamala,292
pari,269
gold,179
black,163
medal,160
game,153
people,128
school,127
right,126
video,124
time,119
watch,118
back,115
august,114
election,102
attack,101
down,101
share,98
israel,95
world,93
star,90
team,89
help,87
donald,86
house,85
week,81
summer,70
american,64
campaign,63
open,63
season,63
pick,58
rally,58
record,58
face,57
city,56
vance,55
health,53
million,52
album,50
court,49
claim,46
market,46
life,45
love,45
project,45
story,45
final,44
county,43
return,43
woman,42
power,41
gaza,40
talk,40
street,39
live,38
plan,36
report,36
arrested,35
community,35
lead,35
president,35
need,34
police,34
good,33
latest,33
women,32
fall,31
music,31
review,31
book,30
family,30
former,30
song,30
history,28
student,27
democrat,26
