term,count
trump,318
eclipse,253
april,240
biden,181
gaza,163
israel,153
time,151
right,140
city,131
worker,128
solar,126
people,124
world,119
earthquake,109
black,108
back,102
week,101
house,97
open,96
million,94
music,94
court,91
judge,90
school,90
help,86
star,86
need,85
video,84
down,81
watch,79
report,77
plan,76
game,72
election,71
share,69
woman,64
death,60
israeli,54
bridge,53
donald,53
group,53
american,48
attack,48
restaurant,48
killed,47
police,46
student,46
high,44
strike,44
community,42
anti,41
abortion,39
baltimore,37
money,37
trump’,37
family,36
health,36
photo,35
review,35
season,35
former,34
month,33
public,32
bill,31
coming,31
festival,31
local,31
stock,30
york,30
play,29
care,28
denver,28
love,28
record,28
street,28
work,28
award,27
