term,count
election,416
black,305
midterm,255
trump,233
democrat,218
race,184
right,170
time,158
republican,147
climate,146
voter,141
week,140
senate,135
world,132
people,131
twitter,122
school,118
house,109
county,100
star,90
city,86
november,80
share,80
vote,79
watch,79
abortion,76
open,73
biden,72
down,71
back,69
student,69
game,63
wakanda,63
ballot,62
plan,62
american,61
woman,61
change,59
panther,59
life,57
love,57
veteran,57
police,56
control,55
live,55
history,50
elon,46
need,46
season,46
ukraine,45
west,45
texa,44
music,43
night,43
health,42
help,42
report,41
candidate,37
return,37
rock,37
nevada,35
result,35
musk,34
women,33
community,32
russian,31
high,30
seat,30
wave,30
lgbtq,29
million,29
national,29
public,29
death,28
face,28
power,28
video,27
florida,26
john,26
talk,25
democracy,24
donald,24
here',24
party,24
story,24
