term,count
black,293
ukraine,251
history,144
time,144
city,135
people,129
back,117
share,117
school,116
bill,111
right,106
student,102
video,100
biden,99
star,97
watch,96
week,90
court,88
february,87
award,86
health,78
help,78
trump,77
life,73
album,71
police,71
world,67
open,60
change,59
story,59
work,59
need,57
game,56
worker,55
american,53
east,51
house,49
street,49
ohio,48
public,47
down,46
food,46
review,46
tour,46
season,43
train,42
live,41
woman,41
community,40
photo,40
return,39
family,36
song,35
weekend,35
national,34
president,33
care,32
coming,32
plan,32
death,31
report,31
russian,30
face,29
major,28
month,28
support,28
million,27
republican,27
bring,26
claim,26
film,26
letter,25
love,25
company,24
county,24
group,24
free,23
high,23
music,23
election,22
good,22
