term,count
trump,442
biden,355
march,304
county,242
police,239
ncaa,237
tournament,205
city,192
court,188
house,178
madness,178
texa,171
school,170
bill,167
video,153
million,150
report,144
election,139
carolina,138
south,136
fire,132
watch,132
arrested,131
spring,130
student,126
attack,125
former,121
north,117
shooting,115
time,115
sport,114
florida,111
week,110
back,109
american,106
game,100
york,100
high,92
illegal,92
kansa,90
down,88
death,85
round,85
found,81
supreme,80
cancer,78
basketball,77
face,76
open,76
play,76
crash,74
border,73
deal,72
primary,72
help,70
republican,70
israel,69
woman,69
colorado,68
lead,66
democrat,64
killed,64
media,64
president,64
people,63
plan,62
star,62
national,59
ohio,58
team,57
vote,54
season,53
family,51
photo,51
claim,50
sign,50
charged,48
college,48
eclipse,47
migrant,47
official,47
summarybrief,46
beat,44
naturalnews.com,44
public,43
leader,42
security,42
kate,41
record,41
return,41
abortion,40
senate,40
rate,39
officer,38
player,38
gaza,37
