term,count
biden,300
bill,276
county,264
school,262
police,221
american,210
house,206
video,194
city,189
watch,183
desanti,169
trump,168
time,155
tucker,150
covid,146
student,146
tournament,145
arrested,136
fire,136
march,131
basketball,127
report,126
florida,125
photo,125
week,119
abortion,115
former,115
bank,114
down,109
spring,109
back,100
white,95
women,95
kansa,94
open,93
people,92
crash,91
right,85
death,84
plan,84
west,84
life,83
million,82
woman,82
nebraska,81
carlson,76
center,75
girl,72
high,72
dead,71
fall,71
found,69
republican,68
family,66
team,63
claim,61
democrat,60
health,60
valley,59
drug,55
texa,54
change,53
charge,53
china,53
murder,53
college,52
senate,52
shooting,51
media,50
killed,49
budget,48
court,47
mexico,47
parent,47
history,45
class,44
crime,43
attack,41
game,41
help,41
border,40
board,39
charged,39
south,39
official,38
oklahoma,38
vote,38
left,37
release,37
