term,term_count,term_ratio,doc_count,doc_ratio,sample_size
new,71,0.071,69,0.069,1000
2026,61,0.061,61,0.061,1000
day,57,0.057,56,0.056,1000
ai,40,0.04,38,0.038,1000
world,40,0.04,40,0.04,1000
prime,39,0.039,39,0.039,1000
cup,32,0.032,32,0.032,1000
announces,28,0.028,28,0.028,1000
deals,28,0.028,28,0.028,1000
trump,28,0.028,27,0.027,1000
venezuela,26,0.026,26,0.026,1000
june,24,0.024,24,0.024,1000
market,21,0.021,20,0.02,1000
county,19,0.019,18,0.018,1000
time,19,0.019,18,0.018,1000
july,18,0.018,18,0.018,1000
group,18,0.018,18,0.018,1000
national,17,0.017,17,0.017,1000
billion,16,0.016,15,0.015,1000
help,16,0.016,16,0.016,1000
park,16,0.016,15,0.015,1000
fire,15,0.015,15,0.015,1000
family,15,0.015,15,0.015,1000
iran,15,0.015,14,0.014,1000
summer,15,0.015,15,0.015,1000
man,15,0.015,15,0.015,1000
center,14,0.014,14,0.014,1000
vs,14,0.014,14,0.014,1000
expands,13,0.013,13,0.013,1000
data,13,0.013,13,0.013,1000
solutions,13,0.013,13,0.013,1000
future,13,0.013,13,0.013,1000
watch,13,0.013,13,0.013,1000
heat,13,0.013,12,0.012,1000
dead,13,0.013,13,0.013,1000
draft,13,0.013,13,0.013,1000
clive,13,0.013,13,0.013,1000
davis,13,0.013,13,0.013,1000
earthquakes,12,0.012,12,0.012,1000
music,12,0.012,12,0.012,1000
development,12,0.012,11,0.011,1000
launches,12,0.012,12,0.012,1000
old,12,0.012,12,0.012,1000
america,11,0.011,10,0.01,1000
million,11,0.011,11,0.011,1000
meeting,11,0.011,10,0.01,1000
pride,11,0.011,11,0.011,1000
platform,11,0.011,11,0.011,1000
lead,11,0.011,11,0.011,1000
match,11,0.011,11,0.011,1000
school,11,0.011,11,0.011,1000
win,11,0.011,11,0.011,1000
hit,11,0.011,11,0.011,1000
service,11,0.011,11,0.011,1000
growth,11,0.011,10,0.01,1000
deal,11,0.011,11,0.011,1000
administration,11,0.011,11,0.011,1000
team,11,0.011,11,0.011,1000
business,10,0.01,10,0.01,1000
california,10,0.01,10,0.01,1000
amazon,10,0.01,10,0.01,1000
results,10,0.01,10,0.01,1000
shares,10,0.01,10,0.01,1000
products,10,0.01,10,0.01,1000
free,10,0.01,10,0.01,1000
housing,10,0.01,10,0.01,1000
worth,10,0.01,10,0.01,1000
nba,10,0.01,10,0.01,1000
dies,10,0.01,10,0.01,1000
94,10,0.01,10,0.01,1000
media,9,0.009,9,0.009,1000
europe,9,0.009,9,0.009,1000
fourth,9,0.009,9,0.009,1000
white,9,0.009,9,0.009,1000
gold,9,0.009,7,0.007,1000
chief,9,0.009,9,0.009,1000
south,9,0.009,9,0.009,1000
streaming,9,0.009,9,0.009,1000
sell,9,0.009,9,0.009,1000
27,9,0.009,9,0.009,1000
tracking,9,0.009,9,0.009,1000
war,9,0.009,9,0.009,1000
work,9,0.009,9,0.009,1000
high,9,0.009,9,0.009,1000
40,9,0.009,9,0.009,1000
former,9,0.009,9,0.009,1000
sale,9,0.009,9,0.009,1000
fireworks,9,0.009,9,0.009,1000
back,9,0.009,8,0.008,1000
death,9,0.009,9,0.009,1000
quakes,9,0.009,9,0.009,1000
companies,9,0.009,9,0.009,1000
impact,9,0.009,9,0.009,1000
law,9,0.009,9,0.009,1000
health,9,0.009,8,0.008,1000
history,9,0.009,9,0.009,1000
play,9,0.009,8,0.008,1000
arrested,9,0.009,9,0.009,1000
tv,9,0.009,9,0.009,1000
executive,9,0.009,9,0.009,1000
