term,count
trump,604
raid,483
biden,341
lago,339
school,319
county,310
police,266
american,228
inflation,207
video,207
photo,204
watch,177
back,156
democrat,153
report,153
arrested,137
shooting,137
city,132
bill,129
house,129
fire,120
help,118
killed,117
woman,117
high,116
crash,115
search,115
china,113
florida,113
time,111
family,110
covid,107
abortion,106
plan,102
breaking,91
dead,90
life,87
people,85
death,82
former,82
president,79
student,74
claim,73
week,73
reduction,72
warrant,64
america,61
fall,60
found,60
world,60
health,59
game,57
republican,56
suspect,51
taiwan,51
agent,50
down,50
million,50
change,48
continue,48
open,46
august,44
right,43
child,42
ukraine,42
charged,40
document,40
price,40
south,40
charge,39
media,39
trump’,38
desanti,36
garland,36
children,35
shot,34
attack,33
football,33
need,33
donald,32
food,32
election,31
public,31
work,31
