term,count
trump,319
holiday,187
city,156
health,138
december,119
black,116
plan,109
season,108
time,108
game,99
court,98
trump’,96
south,90
life,89
help,84
christma,82
open,82
biden,75
week,73
report,71
school,69
para,66
york,66
president,64
care,63
county,59
pick,57
police,56
people,55
community,54
million,54
house,53
back,50
down,50
rico,50
climate,49
american,47
change,47
star,47
event,46
study,46
puerto,44
reveal,42
women,41
deal,40
face,40
food,40
live,38
supreme,38
pardon,37
video,36
miami,35
park,35
right,35
center,32
north,31
world,31
lead,30
student,29
review,28
work,27
death,26
election,26
need,26
tran,26
donald,25
expert,25
media,25
high,24
book,23
photo,23
family,22
latest,22
return,22
