term,count
biden,337
hama,314
israel,262
trump,252
police,247
county,236
city,216
christma,213
house,212
school,210
holiday,209
american,207
video,200
watch,196
report,176
family,172
fire,153
woman,152
student,151
football,144
high,137
season,135
week,135
court,133
down,133
hostage,133
crash,123
game,121
arrested,120
desanti,120
florida,116
back,114
dead,110
shooting,104
gaza,99
north,99
time,99
palestinian,97
killed,94
naturalnews.com,94
death,92
white,92
carolina,90
attack,85
kansa,85
former,83
plan,81
deal,76
anti,74
world,74
found,72
suspect,72
monday,69
israeli,68
charged,66
shot,66
college,65
iowa,65
people,64
south,64
official,63
photo,62
president,61
west,59
texa,57
return,54
change,52
claim,52
child,49
group,49
free,47
lead,47
need,45
open,45
face,44
service,44
climate,43
murder,43
release,43
election,42
sale,42
life,41
health,40
york,40
accused,39
live,39
right,39
thanksgiving,39
tree,38
democrat,37
leader,37
help,36
musk,36
left,33
debate,32
