term,count
biden,385
election,296
county,264
democrat,245
police,234
republican,228
pelosi,219
twitter,212
halloween,202
report,192
school,192
american,178
photo,178
watch,178
video,176
attack,175
musk,175
time,171
elon,152
week,151
poll,145
house,138
midterm,138
city,128
paul,125
race,125
trump,122
court,116
fire,116
abortion,114
media,109
game,105
covid,102
down,100
back,99
woman,98
people,97
death,96
voter,93
crash,91
arrested,90
shooting,87
november,84
candidate,83
north,83
right,79
open,78
west,77
high,75
claim,74
life,70
ballot,69
killed,69
kansa,67
south,66
florida,65
crime,64
family,61
senate,61
record,60
suspect,59
student,58
ukraine,58
white,58
campaign,57
speech,56
vote,56
world,56
help,55
free,54
breaking,53
million,53
football,49
night,49
democracy,48
military,48
nebraska,48
charge,46
fall,44
host,44
season,44
plan,42
inflation,41
shot,41
warn,39
company,38
question,37
virginia,37
former,35
voting,35
face,33
fetterman,33
need,33
powerball,33
supreme,33
