term,count
trump,205
holiday,203
black,171
time,160
world,130
people,118
christma,116
city,115
week,115
court,114
right,113
police,108
house,103
school,101
december,95
game,94
open,94
season,94
album,87
back,79
release,78
report,78
covid,72
share,69
song,67
star,65
student,65
gift,64
video,61
walker,61
bill,58
georgia,58
brittney,56
life,52
republican,52
russian,52
health,51
party,50
watch,50
election,49
county,48
west,48
griner,43
plan,43
power,43
reveal,43
death,42
need,42
award,41
help,41
music,41
return,40
worker,40
down,39
warnock,39
white,38
american,37
senate,37
women,36
center,35
face,35
million,35
history,34
herschel,33
family,32
bring,29
food,29
review,29
shooting,29
work,29
book,28
deal,28
live,28
street,28
twitter,28
change,27
eagle,26
host,26
love,26
supreme,26
woman,26
high,25
former,24
free,24
anti,23
care,23
story,23
