term,count
harri,798
kamala,618
olympic,491
trump,397
pari,260
biden,241
black,173
time,158
president,145
july,139
people,137
back,134
campaign,127
watch,119
game,117
video,116
week,107
team,105
city,100
vance,98
open,95
summer,94
opening,93
right,92
down,89
million,89
netanyahu,86
star,80
house,79
gaza,77
israel,74
police,71
donald,69
democrat,66
court,65
speech,59
election,57
deal,56
world,55
attack,54
park,53
presidential,52
american,51
plan,51
deadpool,47
change,46
school,46
share,46
life,42
need,42
service,41
report,40
album,39
canadian,39
record,39
woman,39
climate,37
health,37
wildfire,37
women,37
killed,36
street,36
free,35
power,35
race,35
bring,34
project,34
family,33
song,33
democratic,32
israeli,31
canada,30
center,29
director,29
help,29
face,28
photo,27
west,27
ceremony,26
coming,25
media,25
party,25
student,25
