term,count
biden,497
trump,462
city,230
bill,222
school,221
county,216
police,199
house,195
naturalnews.com,174
watch,165
york,163
report,155
high,154
south,150
time,149
student,145
fire,143
court,142
shooting,142
american,130
arrested,118
death,113
back,112
colorado,108
president,106
down,101
week,98
claim,96
democrat,95
basketball,90
border,87
black,85
charged,85
west,81
crash,80
killed,80
senate,80
alabama,77
kansa,77
photo,77
plan,75
million,74
people,74
team,74
haley,73
woman,73
game,72
video,70
carolina,69
former,69
illegal,69
republican,69
life,68
election,67
girl,67
murder,67
stock,67
suspect,67
media,66
ukraine,61
college,55
christian,54
texa,53
need,51
israel,50
right,50
family,48
february,48
chief,47
health,47
face,46
help,46
official,46
supreme,46
player,45
children,44
ruling,44
open,42
nikki,41
care,40
florida,40
tran,40
attack,39
found,38
national,38
covid,37
change,36
donald,36
outage,36
russia,35
spring,35
