term,count
black,205
trump,198
city,192
time,176
right,167
june,165
people,157
summer,153
pride,151
biden,132
school,132
court,121
world,120
star,116
back,115
video,95
share,93
house,88
abortion,83
album,82
down,82
week,78
watch,75
juneteenth,72
open,71
deal,68
game,67
report,67
lgbtq,66
tour,66
love,64
music,62
life,57
republican,57
police,54
community,52
donald,51
history,51
titanic,51
song,50
group,49
missing,49
help,48
high,48
american,46
face,46
anti,45
book,45
climate,45
health,45
need,44
family,43
plan,43
texa,43
bill,42
review,42
award,40
county,40
russia,40
million,39
care,38
photo,37
york,37
student,36
supreme,36
center,33
celebrate,32
former,32
hunter,32
west,32
return,31
good,30
future,29
meet,29
trial,29
john,28
judge,28
company,27
live,27
street,27
park,26
bank,25
