term,count
police,165
video,154
black,148
city,147
trump,133
week,127
shooting,122
watch,117
time,112
nichol,108
people,108
school,105
share,100
house,97
tyre,96
american,95
game,93
plan,90
right,90
album,81
park,71
health,70
life,68
need,68
world,68
back,67
bill,67
oscar,65
county,63
review,63
santo,62
student,62
january,54
report,52
help,50
death,49
open,48
star,48
memphi,46
court,43
work,43
million,42
story,42
eagle,41
covid,40
face,40
release,40
woman,40
george,38
live,38
mass,37
public,37
community,36
republican,36
history,35
former,34
ukraine,34
nomination,33
tour,33
biden,32
worker,32
down,31
song,31
women,31
love,29
care,28
family,28
street,28
dead,26
study,26
talk,26
climate,25
group,25
award,24
abortion,23
center,23
fight,23
free,23
high,23
long,23
play,23
food,22
good,22
lawsuit,22
murder,22
