term,term_count,term_ratio,doc_count,doc_ratio,sample_size
2026,76,0.076,74,0.074,1000
new,70,0.07,70,0.07,1000
world,54,0.054,50,0.05,1000
cup,45,0.045,45,0.045,1000
ai,44,0.044,41,0.041,1000
trump,40,0.04,40,0.04,1000
announces,26,0.026,26,0.026,1000
june,21,0.021,21,0.021,1000
house,21,0.021,21,0.021,1000
day,19,0.019,19,0.019,1000
deal,19,0.019,19,0.019,1000
death,18,0.018,18,0.018,1000
market,17,0.017,17,0.017,1000
summer,17,0.017,17,0.017,1000
storms,16,0.016,16,0.016,1000
u.s.,16,0.016,16,0.016,1000
dies,16,0.016,16,0.016,1000
power,16,0.016,16,0.016,1000
man,16,0.016,16,0.016,1000
white,15,0.015,14,0.014,1000
team,15,0.015,15,0.015,1000
data,15,0.015,14,0.014,1000
america,15,0.015,14,0.014,1000
time,15,0.015,15,0.015,1000
county,15,0.015,15,0.015,1000
north,14,0.014,14,0.014,1000
global,14,0.014,14,0.014,1000
launches,14,0.014,14,0.014,1000
pope,14,0.014,14,0.014,1000
fire,14,0.014,13,0.013,1000
energy,13,0.013,13,0.013,1000
city,13,0.013,13,0.013,1000
people,13,0.013,13,0.013,1000
heat,13,0.013,13,0.013,1000
iran,13,0.013,13,0.013,1000
back,13,0.013,12,0.012,1000
health,13,0.013,13,0.013,1000
ice,13,0.013,13,0.013,1000
federal,12,0.012,12,0.012,1000
fifa,12,0.012,12,0.012,1000
killed,12,0.012,12,0.012,1000
group,12,0.012,12,0.012,1000
war,12,0.012,12,0.012,1000
results,11,0.011,11,0.011,1000
school,11,0.011,11,0.011,1000
officials,11,0.011,11,0.011,1000
california,11,0.011,11,0.011,1000
fans,11,0.011,11,0.011,1000
win,11,0.011,11,0.011,1000
judge,11,0.011,11,0.011,1000
action,11,0.011,10,0.01,1000
down,11,0.011,11,0.011,1000
billion,11,0.011,11,0.011,1000
100,11,0.011,11,0.011,1000
vs,10,0.01,10,0.01,1000
high,10,0.01,10,0.01,1000
american,10,0.01,10,0.01,1000
defense,10,0.01,10,0.01,1000
report,10,0.01,10,0.01,1000
florida,10,0.01,10,0.01,1000
tech,10,0.01,10,0.01,1000
company,10,0.01,10,0.01,1000
future,10,0.01,10,0.01,1000
community,10,0.01,10,0.01,1000
hits,10,0.01,10,0.01,1000
facility,10,0.01,10,0.01,1000
family,10,0.01,10,0.01,1000
dead,10,0.01,10,0.01,1000
east,10,0.01,10,0.01,1000
guilty,10,0.01,10,0.01,1000
ufc,10,0.01,10,0.01,1000
development,9,0.009,8,0.008,1000
names,9,0.009,9,0.009,1000
reports,9,0.009,9,0.009,1000
business,9,0.009,8,0.008,1000
live,9,0.009,9,0.009,1000
hit,9,0.009,9,0.009,1000
platform,9,0.009,9,0.009,1000
center,9,0.009,9,0.009,1000
review,9,0.009,8,0.008,1000
solar,9,0.009,8,0.008,1000
chief,9,0.009,8,0.008,1000
growth,9,0.009,9,0.009,1000
finds,9,0.009,9,0.009,1000
free,9,0.009,9,0.009,1000
history,9,0.009,9,0.009,1000
final,9,0.009,9,0.009,1000
awards,9,0.009,9,0.009,1000
west,9,0.009,9,0.009,1000
former,9,0.009,9,0.009,1000
midwest,9,0.009,9,0.009,1000
nba,9,0.009,9,0.009,1000
need,9,0.009,9,0.009,1000
end,9,0.009,9,0.009,1000
return,9,0.009,9,0.009,1000
least,9,0.009,9,0.009,1000
track,9,0.009,9,0.009,1000
migrants,9,0.009,9,0.009,1000
13,9,0.009,9,0.009,1000
set,9,0.009,9,0.009,1000
