term,count
trump,619
indictment,363
watch,170
donald,167
april,165
final,139
time,135
season,131
police,120
march,115
people,109
game,104
live,103
school,99
back,95
week,94
trump’,93
star,92
house,87
free,83
right,81
president,78
down,76
bill,74
city,73
need,73
high,71
indicted,68
video,68
review,66
black,64
film,64
life,58
open,58
dead,56
former,56
help,56
trump',56
court,55
republican,52
return,51
face,48
shooting,48
money,47
plan,47
charge,44
york,44
american,43
fire,42
judge,42
john,41
music,40
election,39
women,39
protest,38
share,37
story,37
arrest,36
ukraine,36
rule,34
tran,34
work,34
good,33
major,33
release,33
worker,33
florida,32
health,32
russia,32
deal,31
million,31
night,31
report,30
county,29
lead,29
leave,29
play,28
power,28
public,28
arrested,27
desanti,27
