term,count
abortion,237
april,178
trump,169
black,166
people,153
time,140
court,130
share,126
house,125
city,124
video,120
week,116
right,111
back,107
school,105
star,103
open,97
republican,95
watch,90
bill,85
work,85
florida,80
american,77
pill,76
photo,75
texa,73
album,72
life,72
down,69
student,69
health,68
help,67
game,63
return,62
world,61
community,59
music,59
live,56
shooting,55
tennessee,55
family,54
need,53
street,52
thoma,52
police,49
change,48
group,48
lawmaker,47
season,46
broadway,45
love,44
plan,44
report,43
song,43
climate,38
national,37
book,36
sery,36
food,35
film,34
tour,33
york,33
county,32
worker,32
clarence,31
free,31
woman,30
women,30
anti,29
judge,29
future,27
ruling,27
story,27
death,25
power,25
biden,23
coming,23
lgbtq,23
sign,23
festival,22
