term,term_count,term_ratio,doc_count,doc_ratio,sample_size
trump,356,0.0712,356,0.0712,5000
new,306,0.0612,299,0.0598,5000
2025,146,0.0292,146,0.0292,5000
man,127,0.0254,124,0.0248,5000
house,113,0.0226,111,0.0222,5000
county,113,0.0226,108,0.0216,5000
world,102,0.0204,102,0.0204,5000
shooting,101,0.0202,100,0.02,5000
christmas,95,0.019,94,0.0188,5000
season,89,0.0178,89,0.0178,5000
police,86,0.0172,86,0.0172,5000
holiday,86,0.0172,85,0.017,5000
killed,82,0.0164,82,0.0164,5000
school,80,0.016,80,0.016,5000
winter,80,0.016,80,0.016,5000
2026,80,0.016,80,0.016,5000
snow,78,0.0156,77,0.0154,5000
football,76,0.0152,75,0.015,5000
time,74,0.0148,74,0.0148,5000
city,74,0.0148,72,0.0144,5000
watch,73,0.0146,73,0.0146,5000
cup,68,0.0136,68,0.0136,5000
reveals,67,0.0134,67,0.0134,5000
high,67,0.0134,67,0.0134,5000
ai,66,0.0132,66,0.0132,5000
national,66,0.0132,66,0.0132,5000
â,65,0.013,64,0.0128,5000
day,64,0.0128,63,0.0126,5000
week,64,0.0128,62,0.0124,5000
woman,64,0.0128,64,0.0128,5000
naturalnews.com,64,0.0128,64,0.0128,5000
family,63,0.0126,63,0.0126,5000
dec,63,0.0126,57,0.0114,5000
court,61,0.0122,60,0.012,5000
judge,61,0.0122,61,0.0122,5000
old,60,0.012,60,0.012,5000
n.j.,60,0.012,60,0.012,5000
star,60,0.012,59,0.0118,5000
fire,59,0.0118,57,0.0114,5000
free,58,0.0116,57,0.0114,5000
florida,58,0.0116,58,0.0116,5000
north,56,0.0112,56,0.0112,5000
weather,56,0.0112,55,0.011,5000
attack,56,0.0112,56,0.0112,5000
vs,55,0.011,55,0.011,5000
people,55,0.011,55,0.011,5000
federal,55,0.011,55,0.011,5000
texas,54,0.0108,54,0.0108,5000
big,54,0.0108,53,0.0106,5000
win,54,0.0108,54,0.0108,5000
help,53,0.0106,53,0.0106,5000
million,53,0.0106,53,0.0106,5000
deal,53,0.0106,52,0.0104,5000
peace,51,0.0102,50,0.01,5000
former,51,0.0102,51,0.0102,5000
cold,51,0.0102,50,0.01,5000
california,50,0.01,50,0.01,5000
white,50,0.01,48,0.0096,5000
health,50,0.01,48,0.0096,5000
arrested,50,0.01,49,0.0098,5000
beach,50,0.01,50,0.01,5000
game,50,0.01,50,0.01,5000
charged,49,0.0098,49,0.0098,5000
report,49,0.0098,49,0.0098,5000
death,48,0.0096,48,0.0096,5000
suspect,48,0.0096,48,0.0096,5000
penn,48,0.0096,48,0.0096,5000
ice,48,0.0096,48,0.0096,5000
accused,47,0.0094,47,0.0094,5000
ukraine,46,0.0092,46,0.0092,5000
long,45,0.009,45,0.009,5000
dies,45,0.009,45,0.009,5000
york,44,0.0088,44,0.0088,5000
drug,44,0.0088,43,0.0086,5000
south,44,0.0088,44,0.0088,5000
crash,44,0.0088,44,0.0088,5000
russia,43,0.0086,43,0.0086,5000
coach,43,0.0086,43,0.0086,5000
girls,43,0.0086,43,0.0086,5000
immigration,43,0.0086,43,0.0086,5000
back,42,0.0084,41,0.0082,5000
weekend,41,0.0082,40,0.008,5000
guard,41,0.0082,41,0.0082,5000
december,41,0.0082,41,0.0082,5000
pa,40,0.008,40,0.008,5000
boat,40,0.008,40,0.008,5000
college,40,0.008,40,0.008,5000
ex,39,0.0078,39,0.0078,5000
student,39,0.0078,39,0.0078,5000
loss,38,0.0076,38,0.0076,5000
nfl,38,0.0076,37,0.0074,5000
basketball,38,0.0076,38,0.0076,5000
university,38,0.0076,38,0.0076,5000
president,38,0.0076,38,0.0076,5000
down,38,0.0076,38,0.0076,5000
strike,38,0.0076,38,0.0076,5000
san,37,0.0074,37,0.0074,5000
final,37,0.0074,37,0.0074,5000
rain,37,0.0074,32,0.0064,5000
war,37,0.0074,37,0.0074,5000
