term,count
trump,282
helene,227
debate,175
time,170
election,166
school,147
week,146
vance,142
hurricane,141
october,141
strike,140
game,133
harri,130
israel,119
city,107
american,105
season,99
county,93
death,93
back,91
open,91
philly,91
north,90
life,86
people,84
student,82
right,78
health,73
star,71
black,69
high,62
israeli,61
community,58
face,57
climate,56
court,56
police,54
million,53
down,51
walz,51
live,49
change,48
power,48
return,47
adam,46
carolina,46
para,46
team,46
fall,45
house,43
world,43
need,42
plan,42
south,42
fire,41
help,41
history,40
report,40
book,39
former,38
festival,37
celebrate,36
reveal,35
voter,35
abortion,34
vote,32
york,32
federal,30
attack,29
east,29
playoff,29
puerto,29
letter,28
