term,term_count,term_ratio,doc_count,doc_ratio,sample_size
trump,482,0.0965,478,0.0957,4996
new,343,0.0687,337,0.0675,4996
santos,182,0.0364,175,0.035,4996
biden,171,0.0342,169,0.0338,4996
israel,165,0.033,165,0.033,4996
george,157,0.0314,150,0.03,4996
black,149,0.0298,146,0.0292,4996
court,138,0.0276,138,0.0276,4996
gaza,134,0.0268,134,0.0268,4996
house,113,0.0226,113,0.0226,4996
gop,112,0.0224,112,0.0224,4996
2023,108,0.0216,108,0.0216,4996
war,95,0.019,93,0.0186,4996
day,82,0.0164,80,0.016,4996
report,80,0.016,80,0.016,4996
people,78,0.0156,78,0.0156,4996
hamas,78,0.0156,78,0.0156,4996
republicans,75,0.015,75,0.015,4996
desantis,75,0.015,73,0.0146,4996
mike,73,0.0146,71,0.0142,4996
week,69,0.0138,68,0.0136,4996
johnson,69,0.0138,67,0.0134,4996
climate,68,0.0136,67,0.0134,4996
watch,67,0.0134,66,0.0132,4996
man,66,0.0132,65,0.013,4996
news,66,0.0132,61,0.0122,4996
back,64,0.0128,64,0.0128,4996
u.s.,63,0.0126,63,0.0126,4996
season,63,0.0126,62,0.0124,4996
judge,63,0.0126,63,0.0126,4996
donald,59,0.0118,59,0.0118,4996
former,57,0.0114,57,0.0114,4996
right,57,0.0114,57,0.0114,4996
holiday,56,0.0112,56,0.0112,4996
book,56,0.0112,52,0.0104,4996
supreme,56,0.0112,56,0.0112,4996
world,56,0.0112,56,0.0112,4996
media,55,0.011,52,0.0104,4996
election,55,0.011,55,0.011,4996
time,54,0.0108,53,0.0106,4996
trial,54,0.0108,53,0.0106,4996
death,54,0.0108,54,0.0108,4996
2024,53,0.0106,53,0.0106,4996
down,52,0.0104,52,0.0104,4996
palestinian,52,0.0104,52,0.0104,4996
kissinger,51,0.0102,51,0.0102,4996
video,51,0.0102,51,0.0102,4996
women,49,0.00981,49,0.00981,4996
so,48,0.00961,46,0.00921,4996
truce,48,0.00961,48,0.00961,4996
family,46,0.00921,46,0.00921,4996
life,46,0.00921,45,0.00901,4996
ex,46,0.00921,46,0.00921,4996
legal,46,0.00921,46,0.00921,4996
school,46,0.00921,45,0.00901,4996
congress,46,0.00921,46,0.00921,4996
album,45,0.00901,43,0.00861,4996
taylor,45,0.00901,44,0.00881,4996
game,45,0.00901,43,0.00861,4996
city,44,0.00881,44,0.00881,4996
cop28,43,0.00861,43,0.00861,4996
america,43,0.00861,43,0.00861,4996
christmas,43,0.00861,43,0.00861,4996
israeli,43,0.00861,43,0.00861,4996
henry,43,0.00861,43,0.00861,4996
white,43,0.00861,42,0.00841,4996
boston,42,0.00841,42,0.00841,4996
police,42,0.00841,42,0.00841,4996
hunter,42,0.00841,42,0.00841,4996
latest,42,0.00841,42,0.00841,4996
song,42,0.00841,42,0.00841,4996
musk,41,0.00821,41,0.00821,4996
republican,41,0.00821,41,0.00821,4996
lgbtq+,40,0.00801,40,0.00801,4996
students,40,0.00801,40,0.00801,4996
jan,40,0.00801,40,0.00801,4996
young,39,0.00781,39,0.00781,4996
anti,39,0.00781,39,0.00781,4996
big,39,0.00781,39,0.00781,4996
tour,39,0.00781,39,0.00781,4996
set,39,0.00781,38,0.00761,4996
free,39,0.00781,39,0.00781,4996
elon,39,0.00781,39,0.00781,4996
charged,39,0.00781,39,0.00781,4996
democrats,38,0.00761,38,0.00761,4996
woman,38,0.00761,38,0.00761,4996
red,38,0.00761,37,0.00741,4996
claims,38,0.00761,37,0.00741,4996
nyc,38,0.00761,38,0.00761,4996
listen,38,0.00761,38,0.00761,4996
old,38,0.00761,38,0.00761,4996
fire,37,0.00741,37,0.00741,4996
fox,37,0.00741,37,0.00741,4996
end,36,0.00721,36,0.00721,4996
good,36,0.00721,35,0.00701,4996
ukraine,36,0.00721,31,0.0062,4996
patriots,36,0.00721,36,0.00721,4996
president,35,0.00701,34,0.00681,4996
killed,35,0.00701,35,0.00701,4996
ron,35,0.00701,35,0.00701,4996
