term,count
student,232
school,216
trump,203
black,184
back,149
august,141
people,140
time,139
video,128
house,123
right,123
police,116
biden,109
covid,109
american,107
city,96
week,93
down,92
plan,85
game,84
help,84
abortion,83
loan,83
need,78
watch,71
woman,69
debt,66
season,66
primary,65
face,63
health,62
open,61
public,61
star,60
texa,60
change,59
county,58
return,58
live,54
national,54
family,53
florida,52
release,52
review,52
share,49
court,48
death,47
power,46
fall,45
former,45
million,45
park,45
election,44
republican,44
community,43
climate,42
work,42
life,40
story,40
women,40
talk,39
group,38
music,38
world,38
month,37
good,35
judge,35
report,35
album,33
free,33
race,33
street,33
high,32
charge,31
russia,31
anti,30
food,30
white,30
shooting,29
york,29
ukraine,28
book,26
long,26
love,26
reveal,26
