term,count
trump,368
black,208
lago,167
time,156
august,143
video,142
school,127
house,121
week,119
climate,115
back,112
people,109
right,101
city,98
health,98
police,97
bill,90
raid,87
county,81
game,80
share,80
world,80
help,79
search,74
covid,72
need,72
return,71
street,69
album,68
inflation,68
watch,67
open,66
monkeypox,65
texa,60
star,59
abortion,58
donald,58
down,57
republican,56
student,56
song,55
family,54
million,54
history,53
good,51
report,51
book,50
primary,50
public,50
life,48
woman,48
former,47
review,47
american,46
york,46
community,45
music,44
release,44
national,40
nuclear,39
high,38
trump’,38
death,37
election,36
park,36
summer,36
photo,35
story,34
change,33
dead,33
lgbtq,32
water,31
west,31
girl,29
plan,29
power,29
ebony,28
love,28
trump',28
women,28
work,28
court,27
season,27
talk,27
group,26
