term,count
school,352
county,343
trump,314
biden,269
police,249
photo,194
video,189
american,185
watch,157
cheney,147
election,142
city,141
raid,138
back,137
student,137
woman,137
abortion,135
judge,134
democrat,132
time,128
florida,126
high,118
week,118
inflation,117
report,116
death,111
people,110
crash,108
bill,104
life,102
desanti,101
republican,93
covid,92
arrested,91
family,91
lago,91
down,90
house,90
help,87
million,85
shooting,83
fire,81
former,80
health,78
court,74
white,74
open,70
plan,66
president,65
killed,64
football,62
face,57
need,56
race,56
ukraine,56
breaking,55
kansa,55
teacher,55
west,55
media,52
primary,51
august,49
officer,49
public,48
climate,47
fall,47
stelter,47
children,45
group,45
price,45
suspect,45
california,44
lead,44
brian,43
fort,42
attack,41
woke,40
charge,39
accused,38
district,38
market,38
world,38
border,37
colorado,36
left,36
reduction,36
return,36
shot,36
change,35
game,35
