term,count
israel,654
hama,606
biden,404
gaza,316
county,285
school,260
house,249
american,233
jordan,212
speaker,208
police,199
week,199
trump,197
watch,192
hospital,191
football,185
attack,173
high,158
time,154
israeli,141
fire,138
palestinian,138
video,136
vote,136
photo,135
report,128
arrested,126
student,126
game,123
killed,110
back,108
city,108
crash,108
down,107
republican,100
media,99
naturalnews.com,98
west,96
woman,96
support,89
help,87
family,84
open,83
death,82
south,80
nebraska,79
fall,74
shooting,74
anti,69
group,66
terrorist,66
million,63
east,61
season,61
dead,59
plan,59
team,58
people,56
claim,53
military,52
murder,52
college,51
order,51
north,50
florida,49
former,48
hostage,47
kansa,47
face,46
health,46
middle,46
found,45
abortion,44
federal,44
world,44
border,43
need,43
community,42
judge,42
desanti,41
force,41
life,39
october,39
update,39
officer,38
start,37
penn,36
shot,36
capitol,34
issue,34
strike,34
china,33
work,33
