term,count
trump,292
biden,217
court,193
time,177
june,171
back,144
supreme,141
right,138
people,135
video,135
black,130
house,127
award,120
share,114
city,108
down,105
watch,105
summer,101
gaza,97
open,95
school,92
election,89
season,89
hunter,86
world,86
plan,85
american,81
star,81
pride,77
tony,74
family,73
million,71
health,70
police,70
game,66
help,66
life,64
report,61
bill,58
fire,55
week,55
israel,53
abortion,52
return,52
photo,51
group,48
face,47
live,47
republican,47
album,46
high,45
federal,44
deal,41
park,41
song,40
stock,40
company,39
white,39
climate,38
work,38
celebrate,37
festival,37
donald,35
music,35
need,35
review,34
russian,34
death,33
public,33
power,32
president,32
dead,31
final,30
south,30
leader,29
sery,29
women,29
killed,28
restaurant,28
lawsuit,27
single,27
