term,count
march,232
black,211
bill,167
time,165
house,141
people,137
school,132
student,129
right,119
back,112
court,107
share,104
social,99
trump,95
week,93
city,92
history,91
media,88
plan,83
video,79
need,77
award,74
biden,73
down,69
open,68
help,65
watch,64
game,63
star,63
review,61
life,60
album,59
million,55
white,54
photo,52
police,52
health,51
music,51
republican,50
world,48
county,47
high,47
ukraine,47
women,44
american,43
florida,42
college,41
food,41
power,39
public,39
desanti,38
family,37
park,36
york,36
good,35
change,33
season,33
west,33
love,32
street,32
work,32
michael,30
texa,30
drag,29
editor,29
group,29
talk,29
report,28
community,27
face,27
month,27
supreme,26
tour,26
book,25
death,24
election,24
president,24
covid,23
live,23
behind,22
center,22
deal,22
meeting,22
