term,count
trump,201
time,174
black,173
week,171
school,167
queen,165
september,155
back,116
city,115
death,111
right,107
emmy,99
people,95
student,94
share,92
house,89
open,88
covid,86
video,86
fall,83
game,79
police,79
down,78
american,77
street,72
watch,70
climate,68
star,68
abortion,66
report,66
help,65
need,63
return,63
world,63
election,60
republican,59
good,58
county,57
family,56
health,54
review,53
season,52
woman,52
life,49
change,46
national,46
ukraine,44
york,43
elizabeth,42
music,42
west,42
texa,41
high,40
lgbtq,40
women,40
album,39
book,39
history,38
park,36
biden,35
live,35
plan,35
water,34
community,33
king,33
official,33
court,32
public,31
work,31
worker,31
month,30
college,29
judge,29
rock,29
coming,28
food,28
photo,28
brooklyn,27
fashion,27
song,27
talk,27
media,26
reveal,26
