term,count
black,246
police,158
city,153
history,146
school,143
people,141
time,122
trump,121
tyre,116
nichol,115
february,113
house,111
video,110
right,106
back,105
bill,105
month,97
health,96
world,95
need,92
tour,87
down,84
week,83
student,79
american,76
plan,74
death,73
share,71
help,70
game,66
review,64
report,61
biden,60
public,59
love,58
open,58
star,58
million,56
watch,53
care,52
george,52
santo,52
center,47
coming,47
food,45
change,44
music,42
life,41
republican,41
good,39
album,35
power,35
super,35
film,34
story,34
study,34
ukraine,34
live,32
award,30
county,30
street,30
face,29
release,29
bowl,28
family,28
january,28
local,28
money,27
book,26
celebrate,26
court,26
long,26
restaurant,26
bring,25
former,24
song,24
women,24
editor,22
work,22
college,21
drop,21
