term,count
harri,743
trump,681
kamala,373
school,295
county,291
biden,269
walz,236
campaign,229
police,228
watch,195
back,165
musk,162
video,149
report,140
time,138
city,137
election,136
shooting,135
woman,135
naturalnews.com,134
fire,131
plan,131
american,130
olympic,120
death,117
arrested,106
price,104
down,103
former,102
israel,100
photo,99
charged,98
crash,97
house,97
service,94
brief,90
democrat,85
white,85
attack,84
help,83
court,82
million,82
claim,79
family,79
president,78
media,74
high,73
student,73
policy,72
north,70
week,69
interview,68
voter,68
record,67
florida,65
poll,65
vance,64
august,62
donald,61
carolina,60
fall,59
found,59
health,58
people,57
elon,54
face,53
inflation,53
official,53
team,53
local,52
military,52
season,52
football,50
storm,50
york,50
anti,49
return,49
economic,47
free,46
live,46
start,45
dead,44
race,43
judge,42
game,41
open,41
talk,41
killed,40
need,40
charge,39
south,38
support,38
cost,37
ballot,36
security,36
debate,35
event,35
