term,count
biden,349
school,276
county,272
police,266
watch,255
shooting,217
house,213
bill,210
city,205
video,181
desanti,178
trump,175
american,171
abortion,158
photo,152
woman,142
student,137
fire,133
week,129
high,126
former,122
game,121
crash,118
report,118
nebraska,112
time,109
florida,103
back,102
official,101
april,99
life,99
people,97
light,96
help,88
senate,88
death,86
arrested,85
republican,84
plan,83
family,81
shot,81
charge,80
court,80
kansa,80
spring,80
million,79
killed,78
teen,77
white,77
claim,76
dead,70
west,70
elon,67
found,66
democrat,65
open,64
down,63
girl,63
hunter,63
murder,63
charged,61
twitter,60
crime,58
sport,57
tran,54
child,53
football,53
star,53
company,51
south,51
musk,50
national,50
change,49
media,49
chinese,48
return,48
health,46
right,45
black,43
ukraine,43
china,41
fall,41
lawmaker,41
reveal,41
covid,39
parent,37
vehicle,37
drug,36
need,36
work,36
community,35
