term,count
biden,379
county,275
school,249
police,207
photo,199
week,190
video,179
democrat,173
watch,173
trump,163
city,161
time,155
back,153
american,143
fire,141
high,140
down,131
football,125
ukraine,125
report,119
crash,117
nebraska,116
abortion,115
student,113
florida,108
election,107
hurricane,106
house,103
candidate,100
covid,98
life,97
people,96
fall,92
plan,92
shooting,92
dead,89
colorado,88
health,88
million,80
russia,80
west,79
game,78
woman,76
inflation,74
family,73
help,73
party,71
killed,70
death,69
arrested,68
open,68
republican,68
season,66
change,64
south,64
military,58
kansa,57
former,50
white,50
center,48
right,48
court,47
found,47
october,47
army,46
child,43
media,43
service,43
shot,43
race,42
return,40
defense,39
senate,39
president,38
tulsi,38
poll,37
question,37
claim,35
attack,34
russian,34
country,33
john,33
north,33
lincoln,32
market,32
need,32
