term,term_count,term_ratio,doc_count,doc_ratio,sample_size
new,733,0.147,685,0.137,5000
2025,248,0.0496,248,0.0496,5000
trump,227,0.0454,227,0.0454,5000
orleans,223,0.0446,223,0.0446,5000
attack,222,0.0444,221,0.0442,5000
carter,202,0.0404,201,0.0402,5000
jimmy,180,0.036,180,0.036,5000
man,138,0.0276,136,0.0272,5000
2024,131,0.0262,131,0.0262,5000
biden,130,0.026,130,0.026,5000
county,128,0.0256,126,0.0252,5000
bowl,116,0.0232,113,0.0226,5000
winter,109,0.0218,108,0.0216,5000
watch,103,0.0206,103,0.0206,5000
police,103,0.0206,101,0.0202,5000
eve,95,0.019,94,0.0188,5000
south,92,0.0184,92,0.0184,5000
win,92,0.0184,92,0.0184,5000
president,90,0.018,90,0.018,5000
dies,90,0.018,90,0.018,5000
snow,89,0.0178,88,0.0176,5000
day,87,0.0174,85,0.017,5000
death,84,0.0168,83,0.0166,5000
world,84,0.0168,84,0.0168,5000
jan,83,0.0166,83,0.0166,5000
city,83,0.0166,82,0.0164,5000
dead,82,0.0164,82,0.0164,5000
free,80,0.016,80,0.016,5000
killed,80,0.016,80,0.016,5000
crash,79,0.0158,79,0.0158,5000
house,78,0.0156,77,0.0154,5000
weather,78,0.0156,75,0.015,5000
star,78,0.0156,78,0.0156,5000
former,75,0.015,75,0.015,5000
game,71,0.0142,71,0.0142,5000
vs,65,0.013,65,0.013,5000
time,64,0.0128,63,0.0126,5000
vegas,62,0.0124,62,0.0124,5000
old,62,0.0124,61,0.0122,5000
terror,62,0.0124,62,0.0124,5000
woman,61,0.0122,61,0.0122,5000
storm,60,0.012,60,0.012,5000
florida,59,0.0118,58,0.0116,5000
season,59,0.0118,59,0.0118,5000
colorado,58,0.0116,58,0.0116,5000
people,58,0.0116,58,0.0116,5000
big,57,0.0114,55,0.011,5000
live,57,0.0114,56,0.0112,5000
back,57,0.0114,56,0.0112,5000
cybertruck,57,0.0114,57,0.0114,5000
fbi,57,0.0114,57,0.0114,5000
johnson,55,0.011,55,0.011,5000
deadly,55,0.011,55,0.011,5000
health,54,0.0108,50,0.01,5000
set,53,0.0106,52,0.0104,5000
week,53,0.0106,51,0.0102,5000
down,53,0.0106,53,0.0106,5000
las,52,0.0104,52,0.0104,5000
life,52,0.0104,52,0.0104,5000
football,52,0.0104,51,0.0102,5000
shooting,52,0.0104,52,0.0104,5000
january,51,0.0102,49,0.0098,5000
nfl,51,0.0102,51,0.0102,5000
omaha,51,0.0102,51,0.0102,5000
basketball,48,0.0096,48,0.0096,5000
explosion,48,0.0096,48,0.0096,5000
million,48,0.0096,48,0.0096,5000
school,48,0.0096,48,0.0096,5000
street,48,0.0096,48,0.0096,5000
arrested,47,0.0094,47,0.0094,5000
suspect,47,0.0094,47,0.0094,5000
funeral,46,0.0092,46,0.0092,5000
fire,46,0.0092,44,0.0088,5000
dec,46,0.0092,35,0.007,5000
stream,46,0.0092,46,0.0092,5000
north,46,0.0092,46,0.0092,5000
bedroom,46,0.0092,46,0.0092,5000
family,45,0.009,45,0.009,5000
end,45,0.009,44,0.0088,5000
sunday,44,0.0088,44,0.0088,5000
mike,44,0.0088,44,0.0088,5000
died,44,0.0088,43,0.0086,5000
officials,43,0.0086,43,0.0086,5000
u.s.,42,0.0084,41,0.0082,5000
â,42,0.0084,41,0.0082,5000
plane,42,0.0084,42,0.0084,5000
college,42,0.0084,42,0.0084,5000
ukraine,42,0.0084,42,0.0084,5000
naturalnews.com,40,0.008,40,0.008,5000
inside,40,0.008,40,0.008,5000
car,40,0.008,39,0.0078,5000
team,40,0.008,40,0.008,5000
18,40,0.008,40,0.008,5000
tv,40,0.008,40,0.008,5000
pa,39,0.0078,38,0.0076,5000
central,39,0.0078,39,0.0078,5000
major,39,0.0078,39,0.0078,5000
war,39,0.0078,39,0.0078,5000
monday,38,0.0076,38,0.0076,5000
start,38,0.0076,38,0.0076,5000
