term,count
trump,713
biden,310
county,261
police,215
school,188
christma,182
report,178
court,175
time,174
holiday,165
suspect,165
murder,162
penny,155
house,154
bill,151
city,150
daniel,147
arrested,142
crash,142
shooting,142
watch,138
syria,135
back,134
million,129
unitedhealthcare,129
drone,128
charged,126
death,120
fire,120
found,120
woman,116
american,112
brief,112
killing,110
luigi,108
accused,105
help,104
down,98
week,98
game,97
video,95
south,94
plan,93
former,92
president,92
people,91
north,87
high,83
naturalnews.com,81
bedroom,80
trump',80
fall,77
football,72
college,71
florida,70
judge,68
mangione,68
record,68
pardon,67
official,66
federal,65
season,65
family,64
health,64
claim,63
democrat,62
jersey,62
killed,62
director,61
national,61
trump’,61
december,55
student,53
person,51
york,51
carolina,49
change,49
charge,49
latest,49
missing,47
return,47
photo,45
trial,44
media,43
need,43
stock,42
sale,41
pick,40
world,40
dead,39
defense,39
omaha,37
arrest,36
player,36
