term,count
trump,272
black,192
biden,186
gaza,173
time,166
court,159
march,158
people,140
world,127
week,122
right,120
city,115
school,110
plan,104
down,103
bill,102
israel,96
back,84
history,84
star,84
election,79
police,77
share,76
death,75
open,73
february,69
million,69
watch,67
life,66
student,66
record,65
american,62
game,62
health,61
video,60
york,60
family,58
need,58
house,53
music,53
help,51
texa,51
woman,50
women,49
supreme,48
deal,47
work,47
donald,45
high,45
republican,45
vote,45
canadian,44
fire,43
food,41
public,41
judge,40
michigan,39
report,39
leader,38
talk,38
face,37
county,36
media,35
official,33
security,31
album,29
return,29
change,28
west,28
worker,28
photo,27
claim,26
protest,26
award,25
broadway,25
israeli,25
town,25
