term,count
trump,216
biden,167
black,167
world,163
july,161
barbie,157
video,154
time,153
open,120
city,118
share,118
people,113
back,109
right,109
climate,106
heat,104
star,104
summer,93
worker,90
desanti,88
album,83
watch,83
house,82
health,79
woman,78
week,77
american,71
help,70
charge,68
movie,67
need,67
school,67
song,66
strike,66
deal,65
police,64
court,63
change,60
republican,60
jame,58
death,57
life,57
season,56
return,55
plan,53
fire,52
street,52
bill,48
county,47
twitter,47
texa,46
love,44
report,44
down,43
former,43
million,43
water,43
record,41
high,39
work,39
festival,37
white,37
listen,36
face,35
music,35
free,33
center,32
history,32
game,31
photo,31
trailer,30
coming,29
dead,28
debut,28
weekend,28
arrest,27
future,27
national,27
night,27
family,26
month,26
