term,count
trump,238
black,230
people,174
time,170
biden,165
city,144
gaza,138
grammy,137
right,126
back,120
house,119
week,111
watch,107
school,104
album,100
down,100
video,100
bill,99
february,93
music,93
taylor,93
history,90
israel,85
share,85
star,83
court,82
plan,79
game,75
american,74
attack,74
student,71
swift,71
health,65
review,63
border,61
january,61
west,61
police,59
republican,59
million,58
song,55
life,54
report,54
world,54
help,53
return,53
need,48
tour,48
open,46
bowl,45
strike,45
broadway,44
live,43
donald,40
work,40
celebrate,39
change,39
fire,38
super,38
election,37
love,37
palestinian,37
climate,36
month,36
award,34
iran,34
night,34
coming,33
photo,32
high,31
latest,31
public,30
book,29
family,29
texa,29
woman,28
face,27
good,26
judge,26
deal,24
federal,24
leader,24
south,23
study,23
york,23
