term,term_count,term_ratio,doc_count,doc_ratio,sample_size
trump,445,0.089,443,0.0886,5000
new,280,0.056,276,0.0552,5000
tariffs,169,0.0338,168,0.0336,5000
man,135,0.027,133,0.0266,5000
april,131,0.0262,127,0.0254,5000
county,111,0.0222,111,0.0222,5000
city,107,0.0214,106,0.0212,5000
2025,103,0.0206,102,0.0204,5000
florida,101,0.0202,100,0.02,5000
police,98,0.0196,98,0.0196,5000
house,97,0.0194,97,0.0194,5000
china,89,0.0178,86,0.0172,5000
easter,89,0.0178,89,0.0178,5000
former,83,0.0166,83,0.0166,5000
star,82,0.0164,82,0.0164,5000
shooting,79,0.0158,78,0.0156,5000
school,77,0.0154,74,0.0148,5000
administration,74,0.0148,74,0.0148,5000
day,72,0.0144,72,0.0144,5000
war,67,0.0134,66,0.0132,5000
win,66,0.0132,66,0.0132,5000
watch,66,0.0132,66,0.0132,5000
tariff,66,0.0132,66,0.0132,5000
people,63,0.0126,63,0.0126,5000
death,62,0.0124,62,0.0124,5000
back,62,0.0124,62,0.0124,5000
colorado,62,0.0124,62,0.0124,5000
old,62,0.0124,61,0.0122,5000
south,61,0.0122,61,0.0122,5000
fire,60,0.012,59,0.0118,5000
high,60,0.012,60,0.012,5000
family,59,0.0118,58,0.0116,5000
killed,59,0.0118,59,0.0118,5000
free,59,0.0118,58,0.0116,5000
national,58,0.0116,57,0.0114,5000
judge,58,0.0116,58,0.0116,5000
arrested,56,0.0112,56,0.0112,5000
â,56,0.0112,55,0.011,5000
world,56,0.0112,53,0.0106,5000
week,55,0.011,54,0.0108,5000
trade,55,0.011,54,0.0108,5000
court,54,0.0108,54,0.0108,5000
masters,54,0.0108,54,0.0108,5000
naturalnews.com,54,0.0108,54,0.0108,5000
woman,54,0.0108,54,0.0108,5000
season,53,0.0106,52,0.0104,5000
federal,53,0.0106,53,0.0106,5000
dead,53,0.0106,53,0.0106,5000
crash,53,0.0106,53,0.0106,5000
u.s.,52,0.0104,52,0.0104,5000
north,51,0.0102,51,0.0102,5000
spring,51,0.0102,50,0.01,5000
tax,51,0.0102,49,0.0098,5000
game,50,0.01,50,0.01,5000
white,50,0.01,50,0.01,5000
students,50,0.01,49,0.0098,5000
uk,50,0.01,49,0.0098,5000
set,49,0.0098,49,0.0098,5000
bill,49,0.0098,49,0.0098,5000
park,49,0.0098,47,0.0094,5000
talks,49,0.0098,49,0.0098,5000
health,48,0.0096,47,0.0094,5000
security,48,0.0096,48,0.0096,5000
major,48,0.0096,47,0.0094,5000
weekend,47,0.0094,47,0.0094,5000
student,47,0.0094,45,0.009,5000
american,46,0.0092,46,0.0092,5000
cuts,45,0.009,45,0.009,5000
help,45,0.009,45,0.009,5000
time,44,0.0088,44,0.0088,5000
dies,44,0.0088,44,0.0088,5000
governor,44,0.0088,44,0.0088,5000
oklahoma,44,0.0088,44,0.0088,5000
ukraine,44,0.0088,43,0.0086,5000
wife,43,0.0086,43,0.0086,5000
days,43,0.0086,43,0.0086,5000
president,42,0.0084,41,0.0082,5000
team,41,0.0082,41,0.0082,5000
university,41,0.0082,41,0.0082,5000
down,41,0.0082,41,0.0082,5000
live,40,0.008,40,0.008,5000
texas,40,0.008,40,0.008,5000
officials,40,0.008,40,0.008,5000
n.j.,40,0.008,40,0.008,5000
big,40,0.008,40,0.008,5000
funding,39,0.0078,39,0.0078,5000
trial,39,0.0078,39,0.0078,5000
vs,39,0.0078,37,0.0074,5000
women,39,0.0078,36,0.0072,5000
jr,38,0.0076,38,0.0076,5000
million,38,0.0076,37,0.0074,5000
murder,38,0.0076,38,0.0076,5000
lead,38,0.0076,38,0.0076,5000
reveals,37,0.0074,37,0.0074,5000
college,37,0.0074,37,0.0074,5000
draft,37,0.0074,37,0.0074,5000
deal,37,0.0074,37,0.0074,5000
baseball,37,0.0074,37,0.0074,5000
market,36,0.0072,35,0.007,5000
community,36,0.0072,36,0.0072,5000
