term,count
biden,504
trump,293
school,270
county,268
debate,249
watch,222
police,219
government,202
shutdown,201
city,195
football,182
house,181
week,181
american,166
republican,160
high,157
video,150
naturalnews.com,149
time,143
arrested,139
down,138
fire,125
bill,120
crash,120
back,119
border,116
student,114
fall,112
plan,112
democrat,111
woman,108
photo,102
game,101
york,97
desanti,96
nebraska,91
court,84
found,84
family,82
open,82
report,82
judge,77
north,75
covid,73
help,73
military,73
shooting,67
florida,65
people,64
life,61
texa,60
charge,57
health,57
abortion,56
national,56
strike,56
worker,56
california,55
impeachment,55
senate,54
right,51
million,50
federal,49
former,49
michigan,49
death,48
illegal,48
media,48
store,47
ukraine,47
west,47
free,46
jersey,46
killed,46
suspect,46
charged,44
officer,44
biden',43
election,43
event,42
team,42
menendez,41
kansa,40
dead,39
feinstein,39
return,39
season,39
america,36
claim,36
month,36
official,36
