term,count
police,166
city,156
black,150
video,140
time,132
week,130
school,101
trump,101
nichol,100
watch,100
people,96
right,94
american,92
health,88
tyre,88
plan,85
house,84
shooting,84
santo,83
game,80
share,77
album,74
bill,70
january,68
world,67
need,64
life,63
review,62
open,61
county,60
death,60
student,60
oscar,59
george,58
public,58
report,56
woman,54
back,53
help,51
work,49
covid,47
star,47
republican,46
face,45
food,45
live,44
story,43
park,42
court,41
memphi,39
million,39
study,39
award,38
good,36
ukraine,36
eagle,35
former,33
down,32
high,31
history,31
release,31
biden,30
song,30
bring,29
family,28
girl,28
love,28
tour,28
book,27
community,27
talk,26
care,24
protest,24
change,23
nomination,23
return,23
street,23
free,22
jame,22
music,22
restaurant,22
climate,21
latest,21
mass,21
university,21
women,21
worker,21
officer,20
deal,19
reveal,19
